timestamp,datetime,mid_price,volatility,kappa,A,gamma,optimal_spread_bps,bid_spread_bps,ask_spread_bps,bid_price,ask_price,reservation_price
1763907535130,N/A,2828.550,0.000070,1.05,0.00,0.10,31.04,15.52,15.52,2824.16,2832.94,2828.55
1763907595227,N/A,2824.650,0.000070,1.05,0.00,0.10,31.29,15.64,15.64,2820.23,2829.07,2824.65
1763907655232,N/A,2823.950,0.000071,1.05,0.00,0.10,32.01,16.00,16.00,2819.43,2828.47,2823.95
1763907715330,N/A,2824.250,0.000071,1.05,0.00,0.10,31.79,15.89,15.89,2819.76,2828.74,2824.25
1763907775333,N/A,2826.550,0.000070,1.05,0.00,0.10,31.69,15.84,15.84,2822.07,2831.03,2826.55
1763907835430,N/A,2827.050,0.000071,1.05,0.00,0.10,31.90,15.95,15.95,2822.54,2831.56,2827.05
1763907895430,N/A,2825.950,0.000071,1.02,0.00,0.10,32.34,16.17,16.17,2821.38,2830.52,2825.95
1763907955433,N/A,2828.750,0.000071,1.01,0.00,0.10,32.38,16.19,16.19,2824.17,2833.33,2828.75
1763908015527,N/A,2828.850,0.000071,1.01,0.00,0.10,32.59,16.29,16.29,2824.24,2833.46,2828.85
1763908075528,N/A,2828.850,0.000071,1.01,0.00,0.10,32.52,16.26,16.26,2824.25,2833.45,2828.85
1763908135532,N/A,2828.550,0.000071,1.01,0.00,0.10,32.59,16.29,16.29,2823.94,2833.16,2828.55
1763908195628,N/A,2828.350,0.000071,1.01,0.00,0.10,32.45,16.22,16.22,2823.76,2832.94,2828.35
1763908255631,N/A,2826.450,0.000072,1.03,0.00,0.10,32.62,16.31,16.31,2821.84,2831.06,2826.45
1763908315659,N/A,2826.550,0.000072,1.03,0.00,0.10,32.69,16.34,16.34,2821.93,2831.17,2826.55
1763908375728,N/A,2827.950,0.000072,1.03,0.00,0.10,33.16,16.58,16.58,2823.26,2832.64,2827.95
1763908435728,N/A,2830.350,0.000072,1.03,0.00,0.10,33.28,16.64,16.64,2825.64,2835.06,2830.35
1763908495728,N/A,2831.550,0.000072,1.01,0.00,0.10,33.40,16.70,16.70,2826.82,2836.28,2831.55
1763908555732,N/A,2831.450,0.000073,0.93,0.00,0.10,34.68,17.34,17.34,2826.54,2836.36,2831.45
1763908615831,N/A,2830.750,0.000073,0.85,0.00,0.10,35.32,17.66,17.66,2825.75,2835.75,2830.75
1763908675929,N/A,2823.950,0.000074,0.85,0.00,0.10,35.97,17.98,17.98,2818.87,2829.03,2823.95
1763908735936,N/A,2828.850,0.000075,0.94,0.00,0.10,35.77,17.88,17.88,2823.79,2833.91,2828.85
1763908796030,N/A,2828.150,0.000075,0.94,0.00,0.10,35.92,17.96,17.96,2823.07,2833.23,2828.15
1763908856128,N/A,2829.550,0.000075,0.94,0.00,0.10,36.11,18.05,18.05,2824.44,2834.66,2829.55
1763908916129,N/A,2831.450,0.000075,0.93,0.00,0.10,36.02,18.01,18.01,2826.35,2836.55,2831.45
1763908976138,N/A,2829.550,0.000075,0.95,0.00,0.10,36.04,18.02,18.02,2824.45,2834.65,2829.55
1763909036229,N/A,2828.050,0.000075,0.94,0.00,0.10,36.06,18.03,18.03,2822.95,2833.15,2828.05
1763909096233,N/A,2827.550,0.000075,0.92,0.00,0.10,36.07,18.03,18.03,2822.45,2832.65,2827.55
1763909156240,N/A,2828.650,0.000075,0.89,0.00,0.10,36.41,18.20,18.20,2823.50,2833.80,2828.65
